date,venue,city,country,lat,long,tour,songs
2024-06-20,Empower Field at Mile High,Denver,US,39.7391536,-104.9847034,Hackney Diamonds,"['Start Me Up', ""It's Only Rock 'n' Roll (but I Like It)"", 'Bitch', 'Angry', 'Let It Bleed', 'Wild Horses', 'Mess It Up', 'Tumbling Dice', ""You Can't Always Get What You Want"", 'Tell Me Straight', 'Little T&A', 'Happy', 'Sympathy for the Devil', 'Honky Tonk Women', 'Midnight Rambler', 'Gimme Shelter', 'Paint It Black', ""Jumpin' Jack Flash"", 'Sweet Sounds of Heaven', ""(I Can't Get No) Satisfaction""]"
2024-06-15,Cleveland Browns Stadium,Cleveland,US,41.4994954,-81.6954088,Hackney Diamonds,"['Start Me Up', ""It's Only Rock 'n' Roll (but I Like It)"", ""Let's Spend the Night Together"", 'Angry', 'Doo Doo Doo Doo Doo (Heartbreaker)', 'Monkey Man', 'Whole Wide World', 'Tumbling Dice', ""You Can't Always Get What You Want"", 'Tell Me Straight', 'Little T&A', 'Happy', 'Sympathy for the Devil', 'Honky Tonk Women', 'Miss You', 'Gimme Shelter', 'Paint It Black', ""Jumpin' Jack Flash"", ""(I Can't Get No) Satisfaction""]"
2024-06-11,Lincoln Financial Field,Philadelphia,US,39.952335,-75.163789,Hackney Diamonds,"['Start Me Up', ""It's Only Rock 'n' Roll (but I Like It)"", ""Let's Spend the Night Together"", 'Angry', ""She's a Rainbow"", 'Monkey Man', 'Tumbling Dice', 'Mess It Up', ""You Can't Always Get What You Want"", 'Tell Me Straight', 'Little T&A', 'Happy', 'Sympathy for the Devil', 'Honky Tonk Women', 'Midnight Rambler', 'Gimme Shelter', 'Paint It Black', ""Jumpin' Jack Flash"", ""(I Can't Get No) Satisfaction""]"
2024-06-07,Mercedes-Benz Stadium,Atlanta,US,33.7489954,-84.3879824,Hackney Diamonds,"['Start Me Up', ""It's Only Rock 'n' Roll (but I Like It)"", ""Let's Spend the Night Together"", 'Angry', 'Sweet Virginia', 'Dead Flowers', 'Tumbling Dice', 'Mess It Up', ""You Can't Always Get What You Want"", 'Tell Me Straight', 'Little T&A', 'Happy', 'Sympathy for the Devil', 'Honky Tonk Women', 'Midnight Rambler', 'Gimme Shelter', 'Paint It Black', ""Jumpin' Jack Flash"", ""(I Can't Get No) Satisfaction""]"
2024-06-03,Camping World Stadium,Orlando,US,28.5383355,-81.3792365,Hackney Diamonds,"['Start Me Up', 'Get Off of My Cloud', ""It's Only Rock 'n' Roll (but I Like It)"", 'Angry', ""She's a Rainbow"", 'Dead Flowers', 'Tumbling Dice', 'Whole Wide World', ""You Can't Always Get What You Want"", 'Tell Me Straight', 'Little T&A', 'Sympathy for the Devil', 'Honky Tonk Women', 'Miss You', 'Gimme Shelter', 'Paint It Black', ""Jumpin' Jack Flash"", 'Sweet Sounds of Heaven', ""(I Can't Get No) Satisfaction""]"
2024-05-30,Gillette Stadium,Foxborough,US,42.0653768,-71.2478308,Hackney Diamonds,"['Start Me Up', 'Get Off of My Cloud', 'Bitch', 'Angry', 'Emotional Rescue', 'Tumbling Dice', 'Wild Horses', 'Mess It Up', ""You Can't Always Get What You Want"", 'Tell Me Straight', 'Little T&A', 'Sympathy for the Devil', 'Honky Tonk Women', 'Midnight Rambler', 'Gimme Shelter', 'Paint It Black', ""Jumpin' Jack Flash"", 'Sweet Sounds of Heaven', ""(I Can't Get No) Satisfaction"", 'Exodus']"
2024-05-26,MetLife Stadium,East Rutherford,US,40.833989,-74.0970865,Hackney Diamonds,"['Start Me Up', 'Get Off of My Cloud', 'Bitch', 'Angry', 'Doo Doo Doo Doo Doo (Heartbreaker)', 'Wild Horses', 'Tumbling Dice', 'Whole Wide World', ""You Can't Always Get What You Want"", 'Tell Me Straight', 'Little T&A', 'Sympathy for the Devil', 'Honky Tonk Women', 'Midnight Rambler', 'Gimme Shelter', 'Paint It Black', ""Jumpin' Jack Flash"", 'Sweet Sounds of Heaven', ""(I Can't Get No) Satisfaction"", 'Exodus']"
2024-05-23,MetLife Stadium,East Rutherford,US,40.833989,-74.0970865,Hackney Diamonds,"['Start Me Up', 'Get Off of My Cloud', 'Shattered', 'Angry', ""It's Only Rock 'n' Roll (but I Like It)"", 'Wild Horses', 'Mess It Up', 'Tumbling Dice', ""You Can't Always Get What You Want"", 'You Got the Silver', 'Little T&A', 'Sympathy for the Devil', 'Honky Tonk Women', 'Miss You', 'Gimme Shelter', 'Paint It Black', ""Jumpin' Jack Flash"", 'Sweet Sounds of Heaven', ""(I Can't Get No) Satisfaction""]"
2024-05-15,Lumen Field,Seattle,US,47.6062095,-122.3320708,Hackney Diamonds,"['Start Me Up', 'Get Off of My Cloud', ""Let's Spend the Night Together"", 'Angry', ""It's Only Rock 'n' Roll (but I Like It)"", 'Wild Horses', 'Whole Wide World', 'Tumbling Dice', ""You Can't Always Get What You Want"", 'You Got the Silver', 'Little T&A', 'Sympathy for the Devil', 'Honky Tonk Women', 'Miss You', 'Gimme Shelter', 'Paint It Black', ""Jumpin' Jack Flash"", 'Sweet Sounds of Heaven', ""(I Can't Get No) Satisfaction""]"
2024-05-11,Allegiant Stadium,Las Vegas,US,36.1749705,-115.137223,Hackney Diamonds,"['Start Me Up', 'Get Off of My Cloud', ""Let's Spend the Night Together"", 'Angry', 'Like a Rolling Stone', 'You Got Me Rocking', 'Mess It Up', 'Tumbling Dice', ""You Can't Always Get What You Want"", 'You Got the Silver', 'Little T&A', 'Sympathy for the Devil', 'Honky Tonk Women', 'Miss You', 'Gimme Shelter', 'Paint It Black', ""Jumpin' Jack Flash"", 'Sweet Sounds of Heaven', ""(I Can't Get No) Satisfaction""]"
2024-05-07,State Farm Stadium,Glendale,US,33.5386523,-112.1859866,Hackney Diamonds,"['Start Me Up', ""It's Only Rock 'n' Roll (but I Like It)"", ""She's So Cold"", 'Angry', 'Beast of Burden', 'Monkey Man', 'Mess It Up', 'Tumbling Dice', ""You Can't Always Get What You Want"", 'Little T&A', 'Sympathy for the Devil', 'Honky Tonk Women', 'Miss You', 'Gimme Shelter', 'Paint It Black', ""Jumpin' Jack Flash"", 'Sweet Sounds of Heaven', ""(I Can't Get No) Satisfaction""]"
2024-05-02,Fair Grounds Race Course,New Orleans,US,29.955,-90.075,Hackney Diamonds,"['Start Me Up', 'Get Off of My Cloud', 'Out of Time', 'Angry', 'Let It Bleed', 'Time Is on My Side', 'Whole Wide World', 'Tumbling Dice', ""You Can't Always Get What You Want"", 'Little T&A', 'Sympathy for the Devil', 'Honky Tonk Women', 'Miss You', 'Gimme Shelter', 'Paint It Black', ""Jumpin' Jack Flash"", 'Sweet Sounds of Heaven', ""(I Can't Get No) Satisfaction""]"
2024-04-28,NRG Stadium,Houston,US,29.7632836,-95.3632715,Hackney Diamonds,"['Start Me Up', 'Get Off of My Cloud', 'Rocks Off', 'Out of Time', 'Angry', 'Beast of Burden', 'Mess It Up', 'Tumbling Dice', ""You Can't Always Get What You Want"", 'Little T&A', 'Sympathy for the Devil', 'Gimme Shelter', 'Honky Tonk Women', 'Miss You', 'Paint It Black', ""Jumpin' Jack Flash"", 'Sweet Sounds of Heaven', ""(I Can't Get No) Satisfaction""]"
2024-04-12,Hurricane Alley LIVE,Bossier City,US,32.5159852,-93.7321229,,"['Start Me Up', 'Under My Thumb', 'Get Off of My Cloud', ""Ain't Too Proud to Beg"", 'Time Is on My Side', ""Mother's Little Helper"", 'Paint It Black', ""Can't You Hear Me Knocking"", ""It's Only Rock 'n' Roll (but I Like It)"", 'Wild Horses', 'Far Away Eyes', 'Miss You', 'Beast of Burden', 'Sympathy for the Devil', 'Gimme Shelter', 'Happy', ""Jumpin' Jack Flash"", 'Honky Tonk Women', 'Brown Sugar', ""(I Can't Get No) Satisfaction""]"
2024-03-09,Spencer Theater for the Performing Arts,Alto,US,33.3986919,-105.6808185,,"['Start Me Up', 'Brown Sugar', 'Angie', 'Sympathy for the Devil', ""Mother's Little Helper"", 'Honky Tonk Women', 'Paint It Black', ""Jumpin' Jack Flash"", 'Gimme Shelter', 'Get Off of My Cloud', 'The Last Time', ""It's All Over Now"", 'Under My Thumb', 'Wild Horses', 'Ruby Tuesday', 'Beast of Burden', 'Street Fighting Man', ""(I Can't Get No) Satisfaction""]"
2024-01-27,The Norwood Theatre,Norwood,US,42.194543,-71.1994976,,"['Start Me Up', 'Street Fighting Man', '19th Nervous Breakdown', ""Mother's Little Helper"", 'Paint It Black', ""(I Can't Get No) Satisfaction"", ""You Can't Always Get What You Want"", 'Brown Sugar', ""Jumpin' Jack Flash"", 'Under My Thumb', 'Miss You', 'Far Away Eyes', 'Little T&A', 'The Last Time', 'Gimme Shelter', 'Tumbling Dice', 'Dead Flowers', 'Wild Horses', ""Can't You Hear Me Knocking"", 'Sympathy for the Devil', 'Beast of Burden', 'Time Is on My Side']"
2024-01-25,The Vogel,Red Bank,US,40.3470543,-74.0643065,,"['Start Me Up', 'Brown Sugar', '19th Nervous Breakdown', 'Beast of Burden', 'Dead Flowers', 'Gimme Shelter', 'Honky Tonk Women', 'Sympathy for the Devil', 'The Last Time', 'Miss You', 'Doo Doo Doo Doo Doo (Heartbreaker)', 'Angie', ""Jumpin' Jack Flash"", 'Little T&A', ""(I Can't Get No) Satisfaction""]"
2023-11-05,Celebrity Theatre,Phoenix,US,33.4483771,-112.0740373,,"['19th Nervous Breakdown', ""Let's Spend the Night Together"", 'The Last Time', 'Under My Thumb', 'Paint It Black', ""Jumpin' Jack Flash"", 'Gimme Shelter', 'Honky Tonk Women', 'Brown Sugar', ""You Can't Always Get What You Want"", ""(I Can't Get No) Satisfaction""]"
2023-10-28,Rymill & King Rodney Parks,Adelaide,AU,-34.9333333,138.6,,"['Brown Sugar', 'Tumbling Dice', 'Paint It Black', 'Wild Horses', 'Midnight Rambler', 'Get Off of My Cloud', ""Jumpin' Jack Flash"", 'Gimme Shelter', ""(I Can't Get No) Satisfaction"", ""You Can't Always Get What You Want"", 'Sympathy for the Devil']"
2023-10-19,Racket,New York,US,40.7142691,-74.0059729,,"['Shattered', 'Angry', 'Whole Wide World', 'Tumbling Dice', 'Bite My Head Off', ""Jumpin' Jack Flash"", 'Sweet Sounds of Heaven']"
